 ticks greenbelt-width aq asd greenbelt-position available-locations aq-distribution gb-influence center-outside 
 395 15 0 0 20 45 "uniform" false 3 
 402 15 0 0 20 45 "uniform" false 3 
 393 15 0 0 20 45 "uniform" false 2 
 386 15 0 0 20 45 "uniform" false 1 
 384 15 0 0 20 45 "uniform" false 1 
 385 15 0 0 20 45 "uniform" false 3 
 389 15 0 0 20 45 "uniform" false 1 
 409 15 0 0 20 45 "uniform" false 4 
 394 15 0 0 20 45 "uniform" false 3 
 396 15 0 0 20 45 "uniform" false 3 
 385 15 0 0 20 45 "uniform" false 2 
 402 15 0 0 20 45 "uniform" false 2 
 384 15 0 0 20 45 "uniform" false 2 
 389 15 0 0 20 45 "uniform" false 2 
 398 15 0 0 20 45 "uniform" false 3 
 395 15 0 0 20 45 "uniform" false 3 
 382 15 0 0 20 45 "uniform" false 2 
 401 15 0 0 20 45 "uniform" false 3 
 402 15 0 0 20 45 "uniform" false 3 
 417 15 0 0 20 45 "uniform" false 4 
 392 15 0 0 20 45 "uniform" false 1 
 394 15 0 0 20 45 "uniform" false 2 
 425 15 0 0 20 45 "uniform" false 2 
 402 15 0 0 20 45 "uniform" false 2 
 399 15 0 0 20 45 "uniform" false 3 
 406 15 0 0 20 45 "uniform" false 2 
 408 15 0 0 20 45 "uniform" false 3 
 404 15 0 0 20 45 "uniform" false 3 
 578 15 0 0 40 15 "uniform" false 2 
 579 15 0 0 40 15 "uniform" false 4 
 557 15 0 0 40 15 "uniform" false 3 
 582 15 0 0 40 15 "uniform" false 3 
 578 15 0 0 40 15 "uniform" false 2 
 601 15 0 0 40 15 "uniform" false 4 
 615 15 0 0 40 15 "uniform" false 2 
 585 15 0 0 40 15 "uniform" false 4 
 613 15 0 0 40 15 "uniform" false 3 
 578 15 0 0 40 15 "uniform" false 1 
 560 15 0 0 40 15 "uniform" false 3 
 553 15 0 0 40 15 "uniform" false 2 
 564 15 0 0 40 15 "uniform" false 1 
 603 15 0 0 40 15 "uniform" false 4 
 587 15 0 0 40 15 "uniform" false 1 
 590 15 0 0 40 15 "uniform" false 2 
 555 15 0 0 40 15 "uniform" false 2 
 591 15 0 0 40 15 "uniform" false 3 
 597 15 0 0 40 15 "uniform" false 3 
 575 15 0 0 40 15 "uniform" false 2 
 597 15 0 0 40 15 "uniform" false 3 
 630 15 0 0 40 15 "uniform" false 5 
 606 15 0 0 40 15 "uniform" false 4 
 595 15 0 0 40 15 "uniform" false 1 
 583 15 0 0 40 15 "uniform" false 3 
 592 15 0 0 40 15 "uniform" false 2 
 594 15 0 0 40 15 "uniform" false 3 
 615 15 0 0 40 15 "uniform" false 1 
 607 15 0 0 40 15 "uniform" false 2 
 605 15 0 0 40 15 "uniform" false 5 
 598 15 0 0 40 30 "uniform" false 2 
 551 15 0 0 40 30 "uniform" false 1 
 622 15 0 0 40 30 "uniform" false 3 
 587 15 0 0 40 30 "uniform" false 2 
 583 15 0 0 40 30 "uniform" false 4 
 566 15 0 0 40 30 "uniform" false 3 
 568 15 0 0 40 30 "uniform" false 3 
 590 15 0 0 40 30 "uniform" false 3 
 582 15 0 0 40 30 "uniform" false 4 
 596 15 0 0 40 30 "uniform" false 2 
 595 15 0 0 40 30 "uniform" false 1 
 573 15 0 0 40 30 "uniform" false 3 
 598 15 0 0 40 30 "uniform" false 3 
 602 15 0 0 40 30 "uniform" false 3 
 602 15 0 0 40 30 "uniform" false 3 
 590 15 0 0 40 30 "uniform" false 3 
 575 15 0 0 40 30 "uniform" false 4 
 585 15 0 0 40 30 "uniform" false 1 
 593 15 0 0 40 30 "uniform" false 3 
 622 15 0 0 40 30 "uniform" false 3 
 619 15 0 0 40 30 "uniform" false 3 
 570 15 0 0 40 30 "uniform" false 4 
 592 15 0 0 40 30 "uniform" false 2 
 597 15 0 0 40 30 "uniform" false 3 
 621 15 0 0 40 30 "uniform" false 4 
 610 15 0 0 40 30 "uniform" false 3 
 652 15 0 0 40 30 "uniform" false 2 
 600 15 0 0 40 30 "uniform" false 2 
 612 15 0 0 40 30 "uniform" false 0 
 607 15 0 0 40 30 "uniform" false 3 
 536 15 0 0 40 45 "uniform" false 4 
 544 15 0 0 40 45 "uniform" false 1 
 571 15 0 0 40 45 "uniform" false 3 
 599 15 0 0 40 45 "uniform" false 2 
 566 15 0 0 40 45 "uniform" false 4 
 567 15 0 0 40 45 "uniform" false 2 
 614 15 0 0 40 45 "uniform" false 2 
 585 15 0 0 40 45 "uniform" false 3 
 570 15 0 0 40 45 "uniform" false 4 
 592 15 0 0 40 45 "uniform" false 3 
 601 15 0 0 40 45 "uniform" false 4 
 611 15 0 0 40 45 "uniform" false 2 
 610 15 0 0 40 45 "uniform" false 3 
 562 15 0 0 40 45 "uniform" false 4 
 584 15 0 0 40 45 "uniform" false 4 
 586 15 0 0 40 45 "uniform" false 3 
 603 15 0 0 40 45 "uniform" false 3 
 601 15 0 0 40 45 "uniform" false 2 
 582 15 0 0 40 45 "uniform" false 3 
 583 15 0 0 40 45 "uniform" false 2 
 623 15 0 0 40 45 "uniform" false 3 
 611 15 0 0 40 45 "uniform" false 4 
 579 15 0 0 40 45 "uniform" false 2 
 647 15 0 0 40 45 "uniform" false 2 
 620 15 0 0 40 45 "uniform" false 1 
 579 15 0 0 40 45 "uniform" false 3 
 606 15 0 0 40 45 "uniform" false 3 
 612 15 0 0 40 45 "uniform" false 4 
 613 15 0 0 40 45 "uniform" false 2 
 634 15 0 0 40 45 "uniform" false 2 

 792 1 0 0.5 20 15 "uniform" false 4 
 1035 1 0 0.5 20 15 "uniform" false 3 
 927 1 0 0.5 20 15 "uniform" false 1 
 688 1 0 0.5 20 15 "uniform" false 4 
 1309 1 0 0.5 20 15 "uniform" false 2 
 1097 1 0 0.5 20 15 "uniform" false 1 
 843 1 0 0.5 20 15 "uniform" false 5 
 653 1 0 0.5 20 15 "uniform" false 4 
 939 1 0 0.5 20 15 "uniform" false 5 
 761 1 0 0.5 20 15 "uniform" false 3 
 964 1 0 0.5 20 15 "uniform" false 3 
 635 1 0 0.5 20 15 "uniform" false 4 
 1151 1 0 0.5 20 15 "uniform" false 3 
 625 1 0 0.5 20 15 "uniform" false 4 
 834 1 0 0.5 20 15 "uniform" false 3 
 737 1 0 0.5 20 15 "uniform" false 4 
 724 1 0 0.5 20 15 "uniform" false 2 
 675 1 0 0.5 20 15 "uniform" false 3 
 1130 1 0 0.5 20 15 "uniform" false 1 
 500 1 0 0.5 20 15 "uniform" false 4 
 728 1 0 0.5 20 15 "uniform" false 4 
 1204 1 0 0.5 20 15 "uniform" false 1 
 1238 1 0 0.5 20 15 "uniform" false 1 
 1044 1 0 0.5 20 15 "uniform" false 2 
 747 1 0 0.5 20 15 "uniform" false 3 
 1167 1 0 0.5 20 15 "uniform" false 2 
 929 1 0 0.5 20 15 "uniform" false 2 
 961 1 0 0.5 20 15 "uniform" false 3 
 566 1 0 0.5 20 15 "uniform" false 3 
 1176 1 0 0.5 20 15 "uniform" false 2 
 984 1 0 0.5 20 30 "uniform" false 2 
 1134 1 0 0.5 20 30 "uniform" false 2 
 1263 1 0 0.5 20 30 "uniform" false 2 
 1055 1 0 0.5 20 30 "uniform" false 2 
 1145 1 0 0.5 20 30 "uniform" false 2 
 1166 1 0 0.5 20 30 "uniform" false 1 
 1545 1 0 0.5 20 30 "uniform" false 2 
 708 1 0 0.5 20 30 "uniform" false 3 
 914 1 0 0.5 20 30 "uniform" false 4 
 1008 1 0 0.5 20 30 "uniform" false 4 
 740 1 0 0.5 20 30 "uniform" false 2 
 1442 1 0 0.5 20 30 "uniform" false 2 
 1235 1 0 0.5 20 30 "uniform" false 4 
 995 1 0 0.5 20 30 "uniform" false 2 
 1134 1 0 0.5 20 30 "uniform" false 2 
 1085 1 0 0.5 20 30 "uniform" false 2 
 1317 1 0 0.5 20 30 "uniform" false 0 
 1186 1 0 0.5 20 30 "uniform" false 2 
 1259 1 0 0.5 20 30 "uniform" false 2 
 1017 1 0 0.5 20 30 "uniform" false 3 
 666 1 0 0.5 20 30 "uniform" false 4 
 1420 1 0 0.5 20 30 "uniform" false 1 
 1019 1 0 0.5 20 30 "uniform" false 3 
 1310 1 0 0.5 20 30 "uniform" false 3 
 1054 1 0 0.5 20 30 "uniform" false 2 
 996 1 0 0.5 20 30 "uniform" false 3 
 1016 1 0 0.5 20 30 "uniform" false 4 
 972 1 0 0.5 20 30 "uniform" false 3 
 1563 1 0 0.5 20 30 "uniform" false 1 
 1584 1 0 0.5 20 30 "uniform" false 2 
 1093 1 0 0.5 20 45 "uniform" false 3 
 1049 1 0 0.5 20 45 "uniform" false 4 
 1162 1 0 0.5 20 45 "uniform" false 2 
 927 1 0 0.5 20 45 "uniform" false 3 
 916 1 0 0.5 20 45 "uniform" false 4 
 1043 1 0 0.5 20 45 "uniform" false 3 
 1278 1 0 0.5 20 45 "uniform" false 2 
 871 1 0 0.5 20 45 "uniform" false 4 
 890 1 0 0.5 20 45 "uniform" false 2 
 806 1 0 0.5 20 45 "uniform" false 3 
 1443 1 0 0.5 20 45 "uniform" false 3 
 944 1 0 0.5 20 45 "uniform" false 3 
 1534 1 0 0.5 20 45 "uniform" false 3 
 962 1 0 0.5 20 45 "uniform" false 2 
